Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
OPEID,5879,0,1,0,character,root,8-digit OPE ID for institution
OPEID6,5879,0,1,0,character,root,6-digit OPE ID for institution
CITY,5879,0,1,0,character,school,City
STABBR,5879,0,1,0,character,school,State postcode
ZIP,5879,0,1,0,character,school,ZIP code
ACCREDAGENCY,5593,286,0.9513522707943528,0.04864772920564722,character,school,Accreditor for institution
HCM2,5879,0,1,0,factor,school,Schools that are on Heightened Cash Monitoring 2 by the Department of Education
MAIN,5879,0,1,0,factor,school,Flag for main campus
NUMBRANCH,5879,0,1,0,integer,school,Number of branch campuses
PREDDEG,5879,0,1,0,factor,school,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting"
HIGHDEG,5879,0,1,0,factor,school,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree"
CONTROL,5879,0,1,0,factor,school,Control of institution
ST_FIPS,5879,0,1,0,factor,school,FIPS code for state
REGION,5879,0,1,0,factor,school,Region (IPEDS)
LOCALE,5879,0,1,0,factor,school,Locale of institution
LATITUDE,5879,0,1,0,num,root,Latitude
LONGITUDE,5879,0,1,0,num,root,Longitude
CCBASIC,5879,0,1,0,factor,school,Carnegie Classification -- basic
CCUGPROF,5879,0,1,0,factor,school,Carnegie Classification -- undergraduate profile
CCSIZSET,5879,0,1,0,factor,school,Carnegie Classification -- size and setting
HBCU,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Historically Black College and University
PBI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for predominantly black institution
ANNHI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Alaska Native Native Hawaiian serving institution
TRIBAL,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for tribal college and university
AANAPII,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Asian American Native American Pacific Islander-serving institution
HSI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Hispanic-serving institution
"NANTI",5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Native American non-tribal institution
MENONLY,5879,0,1,0,factor,school,Flag for men-only college
WOMENONLY,5879,0,1,0,factor,school,Flag for women-only college
RELAFFIL,795,5084,0.13522707943527812,0.8647729205647219,factor,school,Religous affiliation of the institution
ADM_RATE,1953,3926,0.33219935363157,0.66780064636843,num,admissions,Admission rate
ADM_RATE_ALL,2032,3847,0.34563701309746553,0.6543629869025345,num,admissions,Admission rate for all campuses rolled up to the 6-digit OPE ID
SATVR25,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,25th percentile of SAT scores at the institution (critical reading)
SATVR75,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,75th percentile of SAT scores at the institution (critical reading)
SATMT25,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,25th percentile of SAT scores at the institution (math)
SATMT75,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,75th percentile of SAT scores at the institution (math)
SATVRMID,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,Midpoint of SAT scores at the institution (critical reading)
SATMTMID,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,Midpoint of SAT scores at the institution (math)
ACTCM25,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,25th percentile of the ACT cumulative score
ACTCM75,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,75th percentile of the ACT cumulative score
ACTEN25,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,25th percentile of the ACT English score
ACTEN75,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,75th percentile of the ACT English score
ACTMT25,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,25th percentile of the ACT math score
ACTMT75,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,75th percentile of the ACT math score
ACTCMMID,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,Midpoint of the ACT cumulative score
ACTENMID,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,Midpoint of the ACT English score
ACTMTMID,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,Midpoint of the ACT math score
SAT_AVG,1291,4588,0.2195951692464705,0.7804048307535295,num,admissions,Average SAT equivalent score of students admitted
SAT_AVG_ALL,1355,4524,0.23048137438339852,0.7695186256166014,num,admissions,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID
PCIP01,5879,0,1,0,num,academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
PCIP03,5879,0,1,0,num,academics,Percentage of degrees awarded in Natural Resources And Conservation.
PCIP04,5879,0,1,0,num,academics,Percentage of degrees awarded in Architecture And Related Services.
PCIP05,5879,0,1,0,num,academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
PCIP09,5879,0,1,0,num,academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs."
PCIP10,5879,0,1,0,num,academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
PCIP11,5879,0,1,0,num,academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.
PCIP12,5879,0,1,0,num,academics,Percentage of degrees awarded in Personal And Culinary Services.
PCIP13,5879,0,1,0,num,academics,Percentage of degrees awarded in Education.
PCIP14,5879,0,1,0,num,academics,Percentage of degrees awarded in Engineering.
PCIP15,5879,0,1,0,num,academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
PCIP16,5879,0,1,0,num,academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
PCIP19,5879,0,1,0,num,academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
PCIP22,5879,0,1,0,num,academics,Percentage of degrees awarded in Legal Professions And Studies.
PCIP23,5879,0,1,0,num,academics,Percentage of degrees awarded in English Language And Literature/Letters.
PCIP24,5879,0,1,0,num,academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
PCIP25,5879,0,1,0,num,academics,Percentage of degrees awarded in Library Science.
PCIP26,5879,0,1,0,num,academics,Percentage of degrees awarded in Biological And Biomedical Sciences.
PCIP27,5879,0,1,0,num,academics,Percentage of degrees awarded in Mathematics And Statistics.
PCIP29,5879,0,1,0,num,academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.
PCIP30,5879,0,1,0,num,academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.
PCIP31,5879,0,1,0,num,academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
PCIP38,5879,0,1,0,num,academics,Percentage of degrees awarded in Philosophy And Religious Studies.
PCIP39,5879,0,1,0,num,academics,Percentage of degrees awarded in Theology And Religious Vocations.
PCIP40,5879,0,1,0,num,academics,Percentage of degrees awarded in Physical Sciences.
PCIP41,5879,0,1,0,num,academics,Percentage of degrees awarded in Science Technologies/Technicians.
PCIP42,5879,0,1,0,num,academics,Percentage of degrees awarded in Psychology.
PCIP43,5879,0,1,0,num,academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
PCIP44,5879,0,1,0,num,academics,Percentage of degrees awarded in Public Administration And Social Service Professions.
PCIP45,5879,0,1,0,num,academics,Percentage of degrees awarded in Social Sciences.
PCIP46,5879,0,1,0,num,academics,Percentage of degrees awarded in Construction Trades.
PCIP47,5879,0,1,0,num,academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.
PCIP48,5879,0,1,0,num,academics,Percentage of degrees awarded in Precision Production.
PCIP49,5879,0,1,0,num,academics,Percentage of degrees awarded in Transportation And Materials Moving.
PCIP50,5879,0,1,0,num,academics,Percentage of degrees awarded in Visual And Performing Arts.
PCIP51,5879,0,1,0,num,academics,Percentage of degrees awarded in Health Professions And Related Programs.
PCIP52,5879,0,1,0,num,academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
PCIP54,5879,0,1,0,num,academics,Percentage of degrees awarded in History.
CIP01CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences."
CIP01CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences."
CIP01ASSOC,5879,0,1,0,factor,academics,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences."
CIP01CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences."
CIP01BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences."
CIP03CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Natural Resources And Conservation.
CIP03CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Natural Resources And Conservation.
CIP03ASSOC,5879,0,1,0,factor,academics,Associate degree in Natural Resources And Conservation.
CIP03CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Natural Resources And Conservation.
CIP03BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Natural Resources And Conservation.
CIP04CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Architecture And Related Services.
CIP04CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Architecture And Related Services.
CIP04ASSOC,5879,0,1,0,factor,academics,Associate degree in Architecture And Related Services.
CIP04CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Architecture And Related Services.
CIP04BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Architecture And Related Services.
