Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
UNITID,5879,0,1,0,character,root,Unit ID for institution
INSTNM,5879,0,1,0,character,school,Institution name
CIP01ASSOC,5879,0,1,0,factor,academics,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences."
CIP01BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences."
CIP01CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences."
CIP01CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences."
CIP01CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences."
CIP03ASSOC,5879,0,1,0,factor,academics,Associate degree in Natural Resources And Conservation.
CIP03BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Natural Resources And Conservation.
CIP03CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Natural Resources And Conservation.
CIP03CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Natural Resources And Conservation.
CIP03CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Natural Resources And Conservation.
CIP04ASSOC,5879,0,1,0,factor,academics,Associate degree in Architecture And Related Services.
CIP04BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Architecture And Related Services.
CIP04CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Architecture And Related Services.
CIP04CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Architecture And Related Services.
CIP04CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Architecture And Related Services.
CIP05ASSOC,5879,0,1,0,factor,academics,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies."
CIP05BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies."
CIP05CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies."
CIP05CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
CIP05CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
CIP09ASSOC,5879,0,1,0,factor,academics,"Associate degree in Communication, Journalism, And Related Programs."
CIP09BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Communication, Journalism, And Related Programs."
CIP09CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Communication, Journalism, And Related Programs."
CIP09CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs."
CIP09CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs."
CIP10ASSOC,5879,0,1,0,factor,academics,Associate degree in Communications Technologies/Technicians And Support Services.
CIP10BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Communications Technologies/Technicians And Support Services.
CIP10CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.
CIP10CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.
CIP10CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.
CIP11ASSOC,5879,0,1,0,factor,academics,Associate degree in Computer And Information Sciences And Support Services.
CIP11BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Computer And Information Sciences And Support Services.
CIP11CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Computer And Information Sciences And Support Services.
CIP11CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.
CIP11CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.
CIP12ASSOC,5879,0,1,0,factor,academics,Associate degree in Personal And Culinary Services.
CIP12BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Personal And Culinary Services.
