i,Variable,Definition
1,UNITID,Unit ID for institution
2,OPEID,8-digit OPE ID for institution
3,OPEID6,6-digit OPE ID for institution
4,INSTNM,Institution name
5,CITY,City
6,STABBR,State postcode
7,ZIP,ZIP code
8,ACCREDAGENCY,Accreditor for institution
9,INSTURL,URL for institution's homepage
10,NPCURL,URL for institution's net price calculator
11,SCH_DEG,Predominant degree awarded (recoded 0s and 4s)
12,HCM2,Schools that are on Heightened Cash Monitoring 2 by the Department of Education
13,MAIN,Flag for main campus
15,NUMBRANCH,Number of branch campuses
16,PREDDEG,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting"
21,HIGHDEG,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree"
26,CONTROL,Control of institution
29,ST_FIPS,FIPS code for state
87,REGION,Region (IPEDS)
97,LOCALE,Locale of institution
109,LOCALE2,Degree of urbanization of institution
117,LATITUDE,Latitude
118,LONGITUDE,Longitude
119,CCBASIC,Carnegie Classification -- basic
154,CCUGPROF,Carnegie Classification -- undergraduate profile
171,CCSIZSET,Carnegie Classification -- size and setting
191,HBCU,Flag for Historically Black College and University
193,PBI,Flag for predominantly black institution
195,ANNHI,Flag for Alaska Native Native Hawaiian serving institution
197,TRIBAL,Flag for tribal college and university
199,AANAPII,Flag for Asian American Native American Pacific Islander-serving institution
201,HSI,Flag for Hispanic-serving institution
203,NANTI,Flag for Native American non-tribal institution
205,MENONLY,Flag for men-only college
207,WOMENONLY,Flag for women-only college
209,RELAFFIL,Religous affiliation of the institution
277,ADM_RATE,Admission rate
278,ADM_RATE_ALL,Admission rate for all campuses rolled up to the 6-digit OPE ID
279,SATVR25,25th percentile of SAT scores at the institution (critical reading)
280,SATVR75,75th percentile of SAT scores at the institution (critical reading)
281,SATMT25,25th percentile of SAT scores at the institution (math)
282,SATMT75,75th percentile of SAT scores at the institution (math)
283,SATWR25,25th percentile of SAT scores at the institution (writing)
284,SATWR75,75th percentile of SAT scores at the institution (writing)
285,SATVRMID,Midpoint of SAT scores at the institution (critical reading)
286,SATMTMID,Midpoint of SAT scores at the institution (math)
287,SATWRMID,Midpoint of SAT scores at the institution (writing)
288,ACTCM25,25th percentile of the ACT cumulative score
289,ACTCM75,75th percentile of the ACT cumulative score
290,ACTEN25,25th percentile of the ACT English score
291,ACTEN75,75th percentile of the ACT English score
292,ACTMT25,25th percentile of the ACT math score
293,ACTMT75,75th percentile of the ACT math score
294,ACTWR25,25th percentile of the ACT writing score
295,ACTWR75,75th percentile of the ACT writing score
296,ACTCMMID,Midpoint of the ACT cumulative score
297,ACTENMID,Midpoint of the ACT English score
298,ACTMTMID,Midpoint of the ACT math score
299,ACTWRMID,Midpoint of the ACT writing score
300,SAT_AVG,Average SAT equivalent score of students admitted
301,SAT_AVG_ALL,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID
302,PCIP01,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
303,PCIP03,Percentage of degrees awarded in Natural Resources And Conservation.
304,PCIP04,Percentage of degrees awarded in Architecture And Related Services.
305,PCIP05,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
