Variable,n,nmiss,n_pct,nmiss_pct,miss_less_42.8%,Type,dev_cat,Definition,code,var1,var2,var3,var4
UNITID,5879,0,100%,0%,1,character,root,Unit ID for institution,,,,,
OPEID,5879,0,100%,0%,1,character,root,8-digit OPE ID for institution,,,,,
OPEID6,5879,0,100%,0%,1,character,root,6-digit OPE ID for institution,,,,,
INSTNM,5879,0,100%,0%,1,character,school,Institution name,,,,,
CITY,5879,0,100%,0%,1,character,school,City,,,,,
STABBR,5879,0,100%,0%,1,character,school,State postcode,,,,,
ZIP,5879,0,100%,0%,1,character,school,ZIP code,,,,,
HCM2,5879,0,100%,0%,1,factor,school,Schools that are on Heightened Cash Monitoring 2 by the Department of Education,,,,,
MAIN,5879,0,100%,0%,1,factor,school,Flag for main campus,,,,,
NUMBRANCH,5879,0,100%,0%,1,integer,school,Number of branch campuses,,,,,
PREDDEG,5879,0,100%,0%,1,factor,school,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",,,,,
HIGHDEG,5879,0,100%,0%,1,factor,school,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",,,,,
CONTROL,5879,0,100%,0%,1,factor,school,Control of institution,,,,,
ST_FIPS,5879,0,100%,0%,1,factor,school,FIPS code for state,,,,,
REGION,5879,0,100%,0%,1,factor,school,Region (IPEDS),,,,,
LOCALE,5879,0,100%,0%,1,factor,school,Locale of institution,,,,,
LATITUDE,5879,0,100%,0%,1,num,root,Latitude,,,,,
LONGITUDE,5879,0,100%,0%,1,num,root,Longitude,,,,,
CCBASIC,5879,0,100%,0%,1,factor,school,Carnegie Classification -- basic,,,,,
CCUGPROF,5879,0,100%,0%,1,factor,school,Carnegie Classification -- undergraduate profile,,,,,
CCSIZSET,5879,0,100%,0%,1,factor,school,Carnegie Classification -- size and setting,,,,,
MENONLY,5879,0,100%,0%,1,factor,school,Flag for men-only college,,,,,
WOMENONLY,5879,0,100%,0%,1,factor,school,Flag for women-only college,,,,,
PCIP01,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
PCIP03,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Natural Resources And Conservation.,,,,,
PCIP04,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Architecture And Related Services.,,,,,
PCIP05,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
PCIP09,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",,,,,
PCIP10,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,,,,,
PCIP11,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,,,,,
PCIP12,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Personal And Culinary Services.,,,,,
PCIP13,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Education.,,,,,
PCIP14,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Engineering.,,,,,
PCIP15,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,,,,,
PCIP16,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",,,,,
PCIP19,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,,,,,
PCIP22,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Legal Professions And Studies.,,,,,
PCIP23,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in English Language And Literature/Letters.,,,,,
PCIP24,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",,,,,
PCIP25,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Library Science.,,,,,
PCIP26,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Biological And Biomedical Sciences.,,,,,
PCIP27,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Mathematics And Statistics.,,,,,
PCIP29,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.,,,,,
PCIP30,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,,,,,
PCIP31,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",,,,,
PCIP38,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Philosophy And Religious Studies.,,,,,
PCIP39,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Theology And Religious Vocations.,,,,,
PCIP40,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Physical Sciences.,,,,,
PCIP41,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Science Technologies/Technicians.,,,,,
PCIP42,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Psychology.,,,,,
PCIP43,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",,,,,
PCIP44,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Public Administration And Social Service Professions.,,,,,
PCIP45,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Social Sciences.,,,,,
PCIP46,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Construction Trades.,,,,,
PCIP47,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,,,,,
PCIP48,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Precision Production.,,,,,
PCIP49,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Transportation And Materials Moving.,,,,,
PCIP50,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Visual And Performing Arts.,,,,,
PCIP51,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in Health Professions And Related Programs.,,,,,
PCIP52,5879,0,100%,0%,1,num,academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",,,,,
PCIP54,5879,0,100%,0%,1,num,academics,Percentage of degrees awarded in History.,,,,,
CIP01CERT1,5879,0,100%,0%,1,factor,academics,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
CIP01CERT2,5879,0,100%,0%,1,factor,academics,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
CIP01ASSOC,5879,0,100%,0%,1,factor,academics,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
CIP01CERT4,5879,0,100%,0%,1,factor,academics,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
CIP01BACHL,5879,0,100%,0%,1,factor,academics,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",,,,,
CIP03CERT1,5879,0,100%,0%,1,factor,academics,Certificate of less than one academic year in Natural Resources And Conservation.,,,,,
CIP03CERT2,5879,0,100%,0%,1,factor,academics,Certificate of at least one but less than two academic years in Natural Resources And Conservation.,,,,,
CIP03ASSOC,5879,0,100%,0%,1,factor,academics,Associate degree in Natural Resources And Conservation.,,,,,
CIP03CERT4,5879,0,100%,0%,1,factor,academics,Award of at least two but less than four academic years in Natural Resources And Conservation.,,,,,
CIP03BACHL,5879,0,100%,0%,1,factor,academics,Bachelor's degree in Natural Resources And Conservation.,,,,,
CIP04CERT1,5879,0,100%,0%,1,factor,academics,Certificate of less than one academic year in Architecture And Related Services.,,,,,
CIP04CERT2,5879,0,100%,0%,1,factor,academics,Certificate of at least one but less than two academic years in Architecture And Related Services.,,,,,
CIP04ASSOC,5879,0,100%,0%,1,factor,academics,Associate degree in Architecture And Related Services.,,,,,
CIP04CERT4,5879,0,100%,0%,1,factor,academics,Award of at least two but less than four academic years in Architecture And Related Services.,,,,,
CIP04BACHL,5879,0,100%,0%,1,factor,academics,Bachelor's degree in Architecture And Related Services.,,,,,
CIP05CERT1,5879,0,100%,0%,1,factor,academics,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
CIP05CERT2,5879,0,100%,0%,1,factor,academics,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
CIP05ASSOC,5879,0,100%,0%,1,factor,academics,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
CIP05CERT4,5879,0,100%,0%,1,factor,academics,"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
CIP05BACHL,5879,0,100%,0%,1,factor,academics,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",,,,,
CIP09CERT1,5879,0,100%,0%,1,factor,academics,"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",,,,,
CIP09CERT2,5879,0,100%,0%,1,factor,academics,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",,,,,
CIP09ASSOC,5879,0,100%,0%,1,factor,academics,"Associate degree in Communication, Journalism, And Related Programs.",,,,,
CIP09CERT4,5879,0,100%,0%,1,factor,academics,"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs.",,,,,
CIP09BACHL,5879,0,100%,0%,1,factor,academics,"Bachelor's degree in Communication, Journalism, And Related Programs.",,,,,
CIP10CERT1,5879,0,100%,0%,1,factor,academics,Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,,,,,
CIP10CERT2,5879,0,100%,0%,1,factor,academics,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,,,,,
