i,dup_var_name,Variable,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
1,PELLCAT,PELLCAT,factor,created,NA,0,Majority Pell institution (PCTPELL > 0.5),NA
2,PELLCAT,,factor,created,NA,1,Minority Pell institution (PCTPELL <= 0.5),NA
3,UNITID,UNITID,character,root,NA,NA,NA,id
4,OPEID,OPEID,character,root,NA,NA,NA,ope8_id
5,OPEID6,OPEID6,character,root,NA,NA,NA,ope6_id
6,INSTNM,INSTNM,character,school,NA,NA,NA,name
7,CITY,CITY,character,school,NA,NA,NA,city
8,STABBR,STABBR,character,school,NA,NA,NA,state
9,ZIP,ZIP,character,school,NA,NA,NA,zip
10,ACCREDAGENCY,ACCREDAGENCY,character,school,NA,NA,NA,accreditor
13,HCM2,HCM2,factor,school,NA,1,HCM2,under_investigation
14,MAIN,MAIN,factor,school,NA,0,Not main campus,main_campus
15,MAIN,,factor,school,NA,1,Main campus,NA
16,NUMBRANCH,NUMBRANCH,integer,school,NA,NA,NA,branches
17,PREDDEG,PREDDEG,factor,school,NA,0,Not classified,degrees_awarded.predominant
18,PREDDEG,,factor,school,NA,1,Predominantly certificate-degree granting,NA
19,PREDDEG,,factor,school,NA,2,Predominantly associate's-degree granting,NA
20,PREDDEG,,factor,school,NA,3,Predominantly bachelor's-degree granting,NA
21,PREDDEG,,factor,school,NA,4,Entirely graduate-degree granting,NA
22,HIGHDEG,HIGHDEG,factor,school,NA,0,Non-degree-granting,degrees_awarded.highest
23,HIGHDEG,,factor,school,NA,1,Certificate degree,NA
24,HIGHDEG,,factor,school,NA,2,Associate degree,NA
25,HIGHDEG,,factor,school,NA,3,Bachelor's degree,NA
26,HIGHDEG,,factor,school,NA,4,Graduate degree,NA
27,CONTROL,CONTROL,factor,school,NA,1,Public,ownership
28,CONTROL,,factor,school,NA,2,Private nonprofit,NA
29,CONTROL,,factor,school,NA,3,Private for-profit,NA
30,ST_FIPS,ST_FIPS,factor,school,NA,1,Alabama,state_fips
31,ST_FIPS,,factor,school,NA,2,Alaska,NA
32,ST_FIPS,,factor,school,NA,4,Arizona,NA
33,ST_FIPS,,factor,school,NA,5,Arkansas,NA
34,ST_FIPS,,factor,school,NA,6,California,NA
35,ST_FIPS,,factor,school,NA,8,Colorado,NA
36,ST_FIPS,,factor,school,NA,9,Connecticut,NA
37,ST_FIPS,,factor,school,NA,10,Delaware,NA
38,ST_FIPS,,factor,school,NA,11,District of Columbia,NA
39,ST_FIPS,,factor,school,NA,12,Florida,NA
40,ST_FIPS,,factor,school,NA,13,Georgia,NA
41,ST_FIPS,,factor,school,NA,15,Hawaii,NA
42,ST_FIPS,,factor,school,NA,16,Idaho,NA
43,ST_FIPS,,factor,school,NA,17,Illinois,NA
44,ST_FIPS,,factor,school,NA,18,Indiana,NA
45,ST_FIPS,,factor,school,NA,19,Iowa,NA
46,ST_FIPS,,factor,school,NA,20,Kansas,NA
47,ST_FIPS,,factor,school,NA,21,Kentucky,NA
48,ST_FIPS,,factor,school,NA,22,Louisiana,NA
49,ST_FIPS,,factor,school,NA,23,Maine,NA
50,ST_FIPS,,factor,school,NA,24,Maryland,NA
51,ST_FIPS,,factor,school,NA,25,Massachusetts,NA
52,ST_FIPS,,factor,school,NA,26,Michigan,NA
53,ST_FIPS,,factor,school,NA,27,Minnesota,NA
54,ST_FIPS,,factor,school,NA,28,Mississippi,NA
55,ST_FIPS,,factor,school,NA,29,Missouri,NA
56,ST_FIPS,,factor,school,NA,30,Montana,NA
57,ST_FIPS,,factor,school,NA,31,Nebraska,NA
58,ST_FIPS,,factor,school,NA,32,Nevada,NA
59,ST_FIPS,,factor,school,NA,33,New Hampshire,NA
60,ST_FIPS,,factor,school,NA,34,New Jersey,NA
61,ST_FIPS,,factor,school,NA,35,New Mexico,NA
62,ST_FIPS,,factor,school,NA,36,New York,NA
63,ST_FIPS,,factor,school,NA,37,North Carolina,NA
64,ST_FIPS,,factor,school,NA,38,North Dakota,NA
65,ST_FIPS,,factor,school,NA,39,Ohio,NA
66,ST_FIPS,,factor,school,NA,40,Oklahoma,NA
67,ST_FIPS,,factor,school,NA,41,Oregon,NA
68,ST_FIPS,,factor,school,NA,42,Pennsylvania,NA
69,ST_FIPS,,factor,school,NA,44,Rhode Island,NA
70,ST_FIPS,,factor,school,NA,45,South Carolina,NA
71,ST_FIPS,,factor,school,NA,46,South Dakota,NA
72,ST_FIPS,,factor,school,NA,47,Tennessee,NA
73,ST_FIPS,,factor,school,NA,48,Texas,NA
74,ST_FIPS,,factor,school,NA,49,Utah,NA
75,ST_FIPS,,factor,school,NA,50,Vermont,NA
76,ST_FIPS,,factor,school,NA,51,Virginia,NA
77,ST_FIPS,,factor,school,NA,53,Washington,NA
78,ST_FIPS,,factor,school,NA,54,West Virginia,NA
79,ST_FIPS,,factor,school,NA,55,Wisconsin,NA
80,ST_FIPS,,factor,school,NA,56,Wyoming,NA
81,ST_FIPS,,factor,school,NA,60,American Samoa,NA
82,ST_FIPS,,factor,school,NA,64,Federated States of Micronesia,NA
83,ST_FIPS,,factor,school,NA,66,Guam,NA
84,ST_FIPS,,factor,school,NA,69,Northern Mariana Islands,NA
85,ST_FIPS,,factor,school,NA,70,Palau,NA
86,ST_FIPS,,factor,school,NA,72,Puerto Rico,NA
87,ST_FIPS,,factor,school,NA,78,Virgin Islands,NA
88,REGION,REGION,factor,school,NA,0,U.S. Service Schools,region_id
89,REGION,,factor,school,NA,1,"New England (CT, ME, MA, NH, RI, VT)",NA
90,REGION,,factor,school,NA,2,"Mid East (DE, DC, MD, NJ, NY, PA)",NA
91,REGION,,factor,school,NA,3,"Great Lakes (IL, IN, MI, OH, WI)",NA
92,REGION,,factor,school,NA,4,"Plains (IA, KS, MN, MO, NE, ND, SD)",NA
93,REGION,,factor,school,NA,5,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",NA
94,REGION,,factor,school,NA,6,"Southwest (AZ, NM, OK, TX)",NA
95,REGION,,factor,school,NA,7,"Rocky Mountains (CO, ID, MT, UT, WY)",NA
96,REGION,,factor,school,NA,8,"Far West (AK, CA, HI, NV, OR, WA)",NA
97,REGION,,factor,school,NA,9,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)",NA
98,LOCALE,LOCALE,factor,school,NA,11,"City: Large (population of 250,000 or more)",locale
99,LOCALE,,factor,school,NA,12,"City: Midsize (population of at least 100,000 but less than 250,000)",NA
100,LOCALE,,factor,school,NA,13,"City: Small (population less than 100,000)",NA
101,LOCALE,,factor,school,NA,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",NA
102,LOCALE,,factor,school,NA,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",NA
103,LOCALE,,factor,school,NA,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",NA
104,LOCALE,,factor,school,NA,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),NA
105,LOCALE,,factor,school,NA,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),NA
106,LOCALE,,factor,school,NA,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),NA
107,LOCALE,,factor,school,NA,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),NA
108,LOCALE,,factor,school,NA,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),NA
109,LOCALE,,factor,school,NA,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),NA
110,LOCALE,,factor,school,NA,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)",NA
111,LOCALE,,factor,school,NA,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau),NA
112,LOCALE,,factor,school,NA,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau),NA
