dup_var_name,Type,dev-cat,CIP_code,VALUE,LABEL,developer-friendly name
PELLCAT,factor,created,NA,0,Majority Pell institution (PCTPELL > 0.5),NA
PELLCAT,factor,created,NA,1,Minority Pell institution (PCTPELL <= 0.5),NA
UNITID,character,root,NA,NA,NA,id
OPEID,character,root,NA,NA,NA,ope8_id
OPEID6,character,root,NA,NA,NA,ope6_id
INSTNM,character,school,NA,NA,NA,name
CITY,character,school,NA,NA,NA,city
STABBR,character,school,NA,NA,NA,state
ZIP,character,school,NA,NA,NA,zip
ACCREDAGENCY,character,school,NA,NA,NA,accreditor
INSTURL,character,school,NA,NA,NA,school_url
NPCURL,character,school,NA,NA,NA,price_calculator_url
HCM2,factor,school,NA,1,HCM2,under_investigation
MAIN,factor,school,NA,0,Not main campus,main_campus
MAIN,factor,school,NA,1,Main campus,NA
NUMBRANCH,integer,school,NA,NA,NA,branches
PREDDEG,factor,school,NA,0,Not classified,degrees_awarded.predominant
PREDDEG,factor,school,NA,1,Predominantly certificate-degree granting,NA
PREDDEG,factor,school,NA,2,Predominantly associate's-degree granting,NA
PREDDEG,factor,school,NA,3,Predominantly bachelor's-degree granting,NA
PREDDEG,factor,school,NA,4,Entirely graduate-degree granting,NA
HIGHDEG,factor,school,NA,0,Non-degree-granting,degrees_awarded.highest
HIGHDEG,factor,school,NA,1,Certificate degree,NA
HIGHDEG,factor,school,NA,2,Associate degree,NA
HIGHDEG,factor,school,NA,3,Bachelor's degree,NA
HIGHDEG,factor,school,NA,4,Graduate degree,NA
CONTROL,factor,school,NA,1,Public,ownership
CONTROL,factor,school,NA,2,Private nonprofit,NA
CONTROL,factor,school,NA,3,Private for-profit,NA
ST_FIPS,factor,school,NA,1,Alabama,state_fips
ST_FIPS,factor,school,NA,2,Alaska,NA
ST_FIPS,factor,school,NA,4,Arizona,NA
ST_FIPS,factor,school,NA,5,Arkansas,NA
ST_FIPS,factor,school,NA,6,California,NA
ST_FIPS,factor,school,NA,8,Colorado,NA
ST_FIPS,factor,school,NA,9,Connecticut,NA
ST_FIPS,factor,school,NA,10,Delaware,NA
ST_FIPS,factor,school,NA,11,District of Columbia,NA
ST_FIPS,factor,school,NA,12,Florida,NA
ST_FIPS,factor,school,NA,13,Georgia,NA
ST_FIPS,factor,school,NA,15,Hawaii,NA
ST_FIPS,factor,school,NA,16,Idaho,NA
ST_FIPS,factor,school,NA,17,Illinois,NA
ST_FIPS,factor,school,NA,18,Indiana,NA
ST_FIPS,factor,school,NA,19,Iowa,NA
ST_FIPS,factor,school,NA,20,Kansas,NA
ST_FIPS,factor,school,NA,21,Kentucky,NA
ST_FIPS,factor,school,NA,22,Louisiana,NA
ST_FIPS,factor,school,NA,23,Maine,NA
ST_FIPS,factor,school,NA,24,Maryland,NA
ST_FIPS,factor,school,NA,25,Massachusetts,NA
ST_FIPS,factor,school,NA,26,Michigan,NA
ST_FIPS,factor,school,NA,27,Minnesota,NA
ST_FIPS,factor,school,NA,28,Mississippi,NA
ST_FIPS,factor,school,NA,29,Missouri,NA
ST_FIPS,factor,school,NA,30,Montana,NA
ST_FIPS,factor,school,NA,31,Nebraska,NA
ST_FIPS,factor,school,NA,32,Nevada,NA
ST_FIPS,factor,school,NA,33,New Hampshire,NA
ST_FIPS,factor,school,NA,34,New Jersey,NA
ST_FIPS,factor,school,NA,35,New Mexico,NA
ST_FIPS,factor,school,NA,36,New York,NA
ST_FIPS,factor,school,NA,37,North Carolina,NA
ST_FIPS,factor,school,NA,38,North Dakota,NA
ST_FIPS,factor,school,NA,39,Ohio,NA
ST_FIPS,factor,school,NA,40,Oklahoma,NA
ST_FIPS,factor,school,NA,41,Oregon,NA
ST_FIPS,factor,school,NA,42,Pennsylvania,NA
ST_FIPS,factor,school,NA,44,Rhode Island,NA
ST_FIPS,factor,school,NA,45,South Carolina,NA
ST_FIPS,factor,school,NA,46,South Dakota,NA
ST_FIPS,factor,school,NA,47,Tennessee,NA
