Variable,n,nmiss,n_pct,nmiss_pct,
UNITID,5879,0,100%,0%,1
OPEID,5879,0,100%,0%,1
OPEID6,5879,0,100%,0%,1
INSTNM,5879,0,100%,0%,1
CITY,5879,0,100%,0%,1
STABBR,5879,0,100%,0%,1
ZIP,5879,0,100%,0%,1
HCM2,5879,0,100%,0%,1
MAIN,5879,0,100%,0%,1
NUMBRANCH,5879,0,100%,0%,1
PREDDEG,5879,0,100%,0%,1
HIGHDEG,5879,0,100%,0%,1
CONTROL,5879,0,100%,0%,1
ST_FIPS,5879,0,100%,0%,1
REGION,5879,0,100%,0%,1
LOCALE,5879,0,100%,0%,1
LATITUDE,5879,0,100%,0%,1
LONGITUDE,5879,0,100%,0%,1
CCBASIC,5879,0,100%,0%,1
CCUGPROF,5879,0,100%,0%,1
CCSIZSET,5879,0,100%,0%,1
MENONLY,5879,0,100%,0%,1
WOMENONLY,5879,0,100%,0%,1
PCIP01,5879,0,100%,0%,1
PCIP03,5879,0,100%,0%,1
PCIP04,5879,0,100%,0%,1
PCIP05,5879,0,100%,0%,1
PCIP09,5879,0,100%,0%,1
PCIP10,5879,0,100%,0%,1
PCIP11,5879,0,100%,0%,1
PCIP12,5879,0,100%,0%,1
PCIP13,5879,0,100%,0%,1
PCIP14,5879,0,100%,0%,1
PCIP15,5879,0,100%,0%,1
PCIP16,5879,0,100%,0%,1
PCIP19,5879,0,100%,0%,1
PCIP22,5879,0,100%,0%,1
PCIP23,5879,0,100%,0%,1
PCIP24,5879,0,100%,0%,1
PCIP25,5879,0,100%,0%,1
PCIP26,5879,0,100%,0%,1
PCIP27,5879,0,100%,0%,1
PCIP29,5879,0,100%,0%,1
PCIP30,5879,0,100%,0%,1
PCIP31,5879,0,100%,0%,1
PCIP38,5879,0,100%,0%,1
PCIP39,5879,0,100%,0%,1
PCIP40,5879,0,100%,0%,1
PCIP41,5879,0,100%,0%,1
PCIP42,5879,0,100%,0%,1
PCIP43,5879,0,100%,0%,1
PCIP44,5879,0,100%,0%,1
PCIP45,5879,0,100%,0%,1
PCIP46,5879,0,100%,0%,1
PCIP47,5879,0,100%,0%,1
PCIP48,5879,0,100%,0%,1
PCIP49,5879,0,100%,0%,1
PCIP50,5879,0,100%,0%,1
PCIP51,5879,0,100%,0%,1
PCIP52,5879,0,100%,0%,1
PCIP54,5879,0,100%,0%,1
CIP01CERT1,5879,0,100%,0%,1
CIP01CERT2,5879,0,100%,0%,1
CIP01ASSOC,5879,0,100%,0%,1
CIP01CERT4,5879,0,100%,0%,1
CIP01BACHL,5879,0,100%,0%,1
CIP03CERT1,5879,0,100%,0%,1
CIP03CERT2,5879,0,100%,0%,1
CIP03ASSOC,5879,0,100%,0%,1
CIP03CERT4,5879,0,100%,0%,1
CIP03BACHL,5879,0,100%,0%,1
CIP04CERT1,5879,0,100%,0%,1
CIP04CERT2,5879,0,100%,0%,1
CIP04ASSOC,5879,0,100%,0%,1
CIP04CERT4,5879,0,100%,0%,1
CIP04BACHL,5879,0,100%,0%,1
CIP05CERT1,5879,0,100%,0%,1
CIP05CERT2,5879,0,100%,0%,1
CIP05ASSOC,5879,0,100%,0%,1
CIP05CERT4,5879,0,100%,0%,1
CIP05BACHL,5879,0,100%,0%,1
CIP09CERT1,5879,0,100%,0%,1
CIP09CERT2,5879,0,100%,0%,1
CIP09ASSOC,5879,0,100%,0%,1
CIP09CERT4,5879,0,100%,0%,1
CIP09BACHL,5879,0,100%,0%,1
CIP10CERT1,5879,0,100%,0%,1
CIP10CERT2,5879,0,100%,0%,1
CIP10ASSOC,5879,0,100%,0%,1
CIP10CERT4,5879,0,100%,0%,1
CIP10BACHL,5879,0,100%,0%,1
CIP11CERT1,5879,0,100%,0%,1
CIP11CERT2,5879,0,100%,0%,1
CIP11ASSOC,5879,0,100%,0%,1
CIP11CERT4,5879,0,100%,0%,1
CIP11BACHL,5879,0,100%,0%,1
CIP12CERT1,5879,0,100%,0%,1
CIP12CERT2,5879,0,100%,0%,1
CIP12ASSOC,5879,0,100%,0%,1
CIP12CERT4,5879,0,100%,0%,1
CIP12BACHL,5879,0,100%,0%,1
CIP13CERT1,5879,0,100%,0%,1
CIP13CERT2,5879,0,100%,0%,1
CIP13ASSOC,5879,0,100%,0%,1
CIP13CERT4,5879,0,100%,0%,1
CIP13BACHL,5879,0,100%,0%,1
CIP14CERT1,5879,0,100%,0%,1
CIP14CERT2,5879,0,100%,0%,1
CIP14ASSOC,5879,0,100%,0%,1
CIP14CERT4,5879,0,100%,0%,1
CIP14BACHL,5879,0,100%,0%,1
CIP15CERT1,5879,0,100%,0%,1
CIP15CERT2,5879,0,100%,0%,1
CIP15ASSOC,5879,0,100%,0%,1
CIP15CERT4,5879,0,100%,0%,1
CIP15BACHL,5879,0,100%,0%,1
CIP16CERT1,5879,0,100%,0%,1
CIP16CERT2,5879,0,100%,0%,1
CIP16ASSOC,5879,0,100%,0%,1
CIP16CERT4,5879,0,100%,0%,1
CIP16BACHL,5879,0,100%,0%,1
CIP19CERT1,5879,0,100%,0%,1
CIP19CERT2,5879,0,100%,0%,1
CIP19ASSOC,5879,0,100%,0%,1
CIP19CERT4,5879,0,100%,0%,1
CIP19BACHL,5879,0,100%,0%,1
CIP22CERT1,5879,0,100%,0%,1
CIP22CERT2,5879,0,100%,0%,1
CIP22ASSOC,5879,0,100%,0%,1
