Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
UNITID,5879,0,1,0,character,root,Unit ID for institution
OPEID,5879,0,1,0,character,root,8-digit OPE ID for institution
OPEID6,5879,0,1,0,character,root,6-digit OPE ID for institution
INSTNM,5879,0,1,0,character,school,Institution name
CITY,5879,0,1,0,character,school,City
STABBR,5879,0,1,0,character,school,State postcode
ZIP,5879,0,1,0,character,school,ZIP code
HCM2,5879,0,1,0,factor,school,Schools that are on Heightened Cash Monitoring 2 by the Department of Education
MAIN,5879,0,1,0,factor,school,Flag for main campus
PREDDEG,5879,0,1,0,factor,school,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting"
HIGHDEG,5879,0,1,0,factor,school,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree"
CONTROL,5879,0,1,0,factor,school,Control of institution
ST_FIPS,5879,0,1,0,factor,school,FIPS code for state
REGION,5879,0,1,0,factor,school,Region (IPEDS)
LOCALE,5879,0,1,0,factor,school,Locale of institution
LATITUDE,5879,0,1,0,num,root,Latitude
LONGITUDE,5879,0,1,0,num,root,Longitude
CCBASIC,5879,0,1,0,factor,school,Carnegie Classification -- basic
CCUGPROF,5879,0,1,0,factor,school,Carnegie Classification -- undergraduate profile
CCSIZSET,5879,0,1,0,factor,school,Carnegie Classification -- size and setting
HBCU,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Historically Black College and University
PBI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for predominantly black institution
ANNHI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Alaska Native Native Hawaiian serving institution
TRIBAL,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for tribal college and university
AANAPII,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Asian American Native American Pacific Islander-serving institution
HSI,5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Hispanic-serving institution
"NANTI",5875,4,0.999319612178942,6.80387821058003e-4,factor,school,Flag for Native American non-tribal institution
MENONLY,5879,0,1,0,factor,school,Flag for men-only college
WOMENONLY,5879,0,1,0,factor,school,Flag for women-only college
RELAFFIL,795,5084,0.13522707943527812,0.8647729205647219,factor,school,Religous affiliation of the institution
ADM_RATE,1953,3926,0.33219935363157,0.66780064636843,num,admissions,Admission rate
ADM_RATE_ALL,2032,3847,0.34563701309746553,0.6543629869025345,num,admissions,Admission rate for all campuses rolled up to the 6-digit OPE ID
SATVR25,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,25th percentile of SAT scores at the institution (critical reading)
SATVR75,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,75th percentile of SAT scores at the institution (critical reading)
SATMT25,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,25th percentile of SAT scores at the institution (math)
SATMT75,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,75th percentile of SAT scores at the institution (math)
SATVRMID,1232,4647,0.20955944888586495,0.790440551114135,num,admissions,Midpoint of SAT scores at the institution (critical reading)
SATMTMID,1235,4644,0.21006973975165844,0.7899302602483416,num,admissions,Midpoint of SAT scores at the institution (math)
ACTCM25,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,25th percentile of the ACT cumulative score
ACTCM75,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,75th percentile of the ACT cumulative score
ACTEN25,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,25th percentile of the ACT English score
ACTEN75,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,75th percentile of the ACT English score
ACTMT25,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,25th percentile of the ACT math score
ACTMT75,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,75th percentile of the ACT math score
ACTCMMID,1269,4610,0.21585303623065147,0.7841469637693486,num,admissions,Midpoint of the ACT cumulative score
ACTENMID,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,Midpoint of the ACT English score
ACTMTMID,1195,4684,0.2032658615410784,0.7967341384589216,num,admissions,Midpoint of the ACT math score
SAT_AVG,1291,4588,0.2195951692464705,0.7804048307535295,num,admissions,Average SAT equivalent score of students admitted
SAT_AVG_ALL,1355,4524,0.23048137438339852,0.7695186256166014,num,admissions,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID
DISTANCEONLY,5879,0,1,0,factor,school,Flag for distance-education-only education
UGDS,5878,1,0.9998299030447356,1.7009695526450075e-4,integer,student,Enrollment of undergraduate certificate/degree-seeking students
UGDS_WHITE,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are white
UGDS_BLACK,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are black
UGDS_HISP,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
UGDS_ASIAN,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are Asian
UGDS_AIAN,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
UGDS_NHPI,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
UGDS_2MOR,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are two or more races
UGDS_NRA,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
UGDS_UNKN,5878,1,0.9998299030447356,1.7009695526450075e-4,num,student,Total share of enrollment of undergraduate degree-seeking students whose race is unknown
PPTUG_EF,5865,14,0.997618642626297,0.00238135737370301,num,student,"Share of undergraduate, degree-/certificate-seeking students who are part-time"
CURROPER,5879,0,1,0,factor,school,"Flag for currently operating institution, 0=closed, 1=operating"
COSTT4_A,3335,2544,0.5672733458071101,0.43272665419289,integer,cost,Average cost of attendance (academic year institutions)
COSTT4_P,2138,3741,0.36366729035550266,0.6363327096444974,integer,cost,Average cost of attendance (program-year institutions)
TUITIONFEE_IN,3452,2427,0.5871746895730566,0.41282531042694337,integer,cost,In-state tuition and fees
TUITIONFEE_OUT,3452,2427,0.5871746895730566,0.41282531042694337,integer,cost,Out-of-state tuition and fees
TUITIONFEE_PROG,2238,3641,0.3806769858819527,0.6193230141180472,integer,cost,Tuition and fees for program-year institutions
TUITFTE,5869,10,0.998299030447355,0.001700969552645,integer,school,Net tuition revenue per full-time equivalent student
INEXPFTE,5869,10,0.998299030447355,0.001700969552645,integer,school,Instructional expenditures per full-time equivalent student
AVGFACSAL,3674,2205,0.6249362136417758,0.3750637863582242,integer,school,Average faculty salary
PFTFAC,3331,2548,0.566592957986052,0.433407042013948,num,school,Proportion of faculty that is full-time
PCTPELL,5879,0,1,0,num,aid,Percentage of undergraduates who receive a Pell Grant
