Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
UNITID,5879,0,1,0,character,root,Unit ID for institution
INSTNM,5879,0,1,0,character,school,Institution name
PCIP01,5879,0,1,0,num,academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
PCIP03,5879,0,1,0,num,academics,Percentage of degrees awarded in Natural Resources And Conservation.
PCIP04,5879,0,1,0,num,academics,Percentage of degrees awarded in Architecture And Related Services.
PCIP05,5879,0,1,0,num,academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
PCIP09,5879,0,1,0,num,academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs."
PCIP10,5879,0,1,0,num,academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
PCIP11,5879,0,1,0,num,academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.
PCIP12,5879,0,1,0,num,academics,Percentage of degrees awarded in Personal And Culinary Services.
PCIP13,5879,0,1,0,num,academics,Percentage of degrees awarded in Education.
PCIP14,5879,0,1,0,num,academics,Percentage of degrees awarded in Engineering.
PCIP15,5879,0,1,0,num,academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
PCIP16,5879,0,1,0,num,academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
PCIP19,5879,0,1,0,num,academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
PCIP22,5879,0,1,0,num,academics,Percentage of degrees awarded in Legal Professions And Studies.
PCIP23,5879,0,1,0,num,academics,Percentage of degrees awarded in English Language And Literature/Letters.
PCIP24,5879,0,1,0,num,academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
PCIP25,5879,0,1,0,num,academics,Percentage of degrees awarded in Library Science.
PCIP26,5879,0,1,0,num,academics,Percentage of degrees awarded in Biological And Biomedical Sciences.
PCIP27,5879,0,1,0,num,academics,Percentage of degrees awarded in Mathematics And Statistics.
PCIP29,5879,0,1,0,num,academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.
PCIP30,5879,0,1,0,num,academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.
PCIP31,5879,0,1,0,num,academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
PCIP38,5879,0,1,0,num,academics,Percentage of degrees awarded in Philosophy And Religious Studies.
PCIP39,5879,0,1,0,num,academics,Percentage of degrees awarded in Theology And Religious Vocations.
PCIP40,5879,0,1,0,num,academics,Percentage of degrees awarded in Physical Sciences.
PCIP41,5879,0,1,0,num,academics,Percentage of degrees awarded in Science Technologies/Technicians.
PCIP42,5879,0,1,0,num,academics,Percentage of degrees awarded in Psychology.
PCIP43,5879,0,1,0,num,academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
PCIP44,5879,0,1,0,num,academics,Percentage of degrees awarded in Public Administration And Social Service Professions.
PCIP45,5879,0,1,0,num,academics,Percentage of degrees awarded in Social Sciences.
PCIP46,5879,0,1,0,num,academics,Percentage of degrees awarded in Construction Trades.
PCIP47,5879,0,1,0,num,academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.
PCIP48,5879,0,1,0,num,academics,Percentage of degrees awarded in Precision Production.
PCIP49,5879,0,1,0,num,academics,Percentage of degrees awarded in Transportation And Materials Moving.
PCIP50,5879,0,1,0,num,academics,Percentage of degrees awarded in Visual And Performing Arts.
PCIP51,5879,0,1,0,num,academics,Percentage of degrees awarded in Health Professions And Related Programs.
PCIP52,5879,0,1,0,num,academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
PCIP54,5879,0,1,0,num,academics,Percentage of degrees awarded in History.
